from,to,relationship,feature,label
CAP,BON,1,2,2
CAP,CRO,2,2,2
CAP,KON,1,2,2
CAP,RAF,1,2,2
CAP,GZU,1,2,1
CAP,UFO,1,2,2
CAP,NIMO,1,2,2
CAP,SID,2,2,1
BON,CRO,3,,2
BON,KON,2,3,2
BON,RAF,2,3,2
BON,APA,2,,2
BON,GZU,2,3,1
BON,UFO,2,2,2
BON,NIMO,2,,2
KON,RAF,2,2,2
KON,GZU,2,2,2
KON,UFO,2,2,2
RAF,APA,2,,2
RAF,GZU,2,2,2
RAF,UFO,2,2,2
RAF,SID,1,1,2
APA,SID,2,1,2
RIN,UFO,2,2,2
RIN,NIMO,1,2,2
RIN,SID,1,1,2
GZU,UFO,2,2,2
UFO,NIMO,2,1,1
NIMO,SID,1,,1
